ENLIGHTEN Version,3.2.30
Measurement ID,,,20230419-151708-452683-WP-00643
Serial Number,,,WP-00643
Model,,,WP-785-R-SR-LMMF
Detector,,,S11511
Label,,,15:17:08 WP-00643
354,850.58,985.20,45830.23
355,850.72,987.06,45811.87
356,850.85,988.91,45871.92
357,850.99,990.76,45840.21
358,851.12,992.61,45836.16
359,851.25,994.46,45805.26
360,851.39,996.31,45814.49
361,851.52,998.16,45786.37
362,851.66,1000.01,45793.13
363,851.79,1001.85,45774.90
364,851.92,1003.70,45819.24
365,852.06,1005.54,45870.24
366,852.19,1007.39,45837.05
367,852.33,1009.23,45841.89
368,852.46,1011.07,45807.45
369,852.59,1012.91,45769.83
370,852.73,1014.75,45703.98
371,852.86,1016.59,45753.89
372,852.99,1018.43,45598.99
373,853.13,1020.26,45675.83
374,853.26,1022.10,45586.51
375,853.39,1023.93,45508.54
376,853.53,1025.77,45579.39
377,853.66,1027.60,45531.27
378,853.80,1029.43,45522.15
379,853.93,1031.26,45529.75
380,854.06,1033.09,45486.69
381,854.20,1034.92,45399.35
382,854.33,1036.75,45418.57
383,854.46,1038.57,45285.73
384,854.60,1040.40,45252.92
385,854.73,1042.22,45236.62
386,854.86,1044.05,45179.85
387,855.00,1045.87,45213.59
388,855.13,1047.69,45258.50
389,855.26,1049.51,45210.29
390,855.39,1051.33,45186.30
391,855.53,1053.15,45142.34
392,855.66,1054.97,45077.32
393,855.79,1056.78,45072.25
394,855.93,1058.60,45029.26
395,856.06,1060.41,44995.43
396,856.19,1062.23,44902.12
397,856.33,1064.04,44975.90
398,856.46,1065.85,44883.42
399,856.59,1067.66,44922.42
400,856.72,1069.47,44926.73
401,856.86,1071.28,44986.14
402,856.99,1073.09,44949.67
403,857.12,1074.90,44985.64
404,857.26,1076.70,45070.13
405,857.39,1078.51,45050.17
406,857.52,1080.31,44961.01
407,857.65,1082.11,44972.24
408,857.79,1083.92,44929.82
409,857.92,1085.72,44904.66
410,858.05,1087.52,44923.42
411,858.18,1089.31,44846.67
412,858.32,1091.11,44808.10
413,858.45,1092.91,44876.50
414,858.58,1094.70,44815.11
415,858.71,1096.50,44841.70
416,858.84,1098.29,44747.74
417,858.98,1100.09,44788.65
418,859.11,1101.88,44789.58
419,859.24,1103.67,44713.14
420,859.37,1105.46,44640.30
421,859.51,1107.25,44691.93
422,859.64,1109.04,44706.73
423,859.77,1110.82,44646.94
424,859.90,1112.61,44663.61
425,860.03,1114.39,44658.61
426,860.17,1116.18,44623.70
427,860.30,1117.96,44631.17
428,860.43,1119.74,44645.63
429,860.56,1121.52,44582.42
430,860.69,1123.30,44489.21
431,860.83,1125.08,44354.31
432,860.96,1126.86,44374.93
433,861.09,1128.64,44386.05
434,861.22,1130.41,44302.71
435,861.35,1132.19,44212.49
436,861.48,1133.96,44192.01
437,861.62,1135.74,44139.86
438,861.75,1137.51,44019.29
439,861.88,1139.28,44032.92
440,862.01,1141.05,44009.54
441,862.14,1142.82,43840.63
442,862.27,1144.59,43812.91
443,862.40,1146.35,43687.75
444,862.54,1148.12,43657.65
445,862.67,1149.88,43585.85
446,862.80,1151.65,43501.50
447,862.93,1153.41,43442.68
448,863.06,1155.17,43399.51
449,863.19,1156.93,43365.86
450,863.32,1158.69,43324.32
451,863.45,1160.45,43269.44
452,863.59,1162.21,43215.55
453,863.72,1163.97,43142.64
454,863.85,1165.73,43073.07
455,863.98,1167.48,43008.38
456,864.11,1169.23,42812.89
457,864.24,1170.99,42896.50
458,864.37,1172.74,42809.57
459,864.50,1174.49,42755.22
460,864.63,1176.24,42758.13
461,864.76,1177.99,42744.86
462,864.89,1179.74,42694.74
463,865.03,1181.49,42704.44
464,865.16,1183.23,42666.46
465,865.29,1184.98,42590.87
466,865.42,1186.72,42550.53
467,865.55,1188.46,42510.30
468,865.68,1190.21,42527.14
469,865.81,1191.95,42457.50
470,865.94,1193.69,42431.83
471,866.07,1195.43,42446.84
472,866.20,1197.17,42321.86
473,866.33,1198.90,42411.28
474,866.46,1200.64,42385.10
475,866.59,1202.38,42355.61
476,866.72,1204.11,42316.16
477,866.85,1205.84,42299.94
478,866.98,1207.58,42251.33
479,867.11,1209.31,42212.43
480,867.24,1211.04,42101.00
481,867.37,1212.77,42144.61
482,867.50,1214.49,42120.54
483,867.63,1216.22,42014.81
484,867.76,1217.95,42067.74
485,867.89,1219.67,42053.92
486,868.02,1221.40,41924.24
487,868.15,1223.12,41937.63
488,868.28,1224.84,41895.50
489,868.41,1226.57,41819.34
490,868.54,1228.29,41761.50
491,868.67,1230.01,41745.72
492,868.80,1231.72,41723.43
493,868.93,1233.44,41711.72
494,869.06,1235.16,41682.10
495,869.19,1236.87,41583.77
496,869.32,1238.59,41598.56
497,869.45,1240.30,41604.01
498,869.58,1242.01,41520.69
499,869.71,1243.73,41618.96
500,869.84,1245.44,41481.42
501,869.97,1247.15,41452.53
502,870.10,1248.85,41511.25
503,870.23,1250.56,41393.81
504,870.35,1252.27,41356.05
505,870.48,1253.97,41403.63
506,870.61,1255.68,41369.09
507,870.74,1257.38,41317.90
508,870.87,1259.08,41344.87
509,871.00,1260.79,41326.17
510,871.13,1262.49,41285.85
511,871.26,1264.19,41318.47
512,871.39,1265.88,41244.00
513,871.52,1267.58,41210.84
514,871.64,1269.28,41204.46
515,871.77,1270.97,41137.21
516,871.90,1272.67,41094.47
517,872.03,1274.36,41008.72
518,872.16,1276.05,41024.96
519,872.29,1277.75,40955.53
520,872.42,1279.44,40925.51
521,872.55,1281.13,40890.43
522,872.67,1282.82,40789.51
523,872.80,1284.50,40747.02
524,872.93,1286.19,40666.29
525,873.06,1287.88,40593.76
526,873.19,1289.56,40595.12
527,873.32,1291.24,40453.47
528,873.45,1292.93,40445.02
529,873.57,1294.61,40361.41
530,873.70,1296.29,40269.08
531,873.83,1297.97,40250.74
532,873.96,1299.65,40251.22
533,874.09,1301.33,40164.33
534,874.21,1303.00,40165.04
535,874.34,1304.68,40055.82
536,874.47,1306.35,39931.17
537,874.60,1308.03,39873.14
538,874.73,1309.70,39805.45
539,874.85,1311.37,39705.13
540,874.98,1313.04,39642.15
541,875.11,1314.71,39612.82
542,875.24,1316.38,39533.46
543,875.37,1318.05,39573.53
544,875.49,1319.71,39524.02
545,875.62,1321.38,39496.07
546,875.75,1323.05,39399.91
547,875.88,1324.71,39394.81
548,876.00,1326.37,39331.95
549,876.13,1328.03,39229.98
550,876.26,1329.69,39203.73
551,876.39,1331.35,39133.62
552,876.51,1333.01,39154.50
553,876.64,1334.67,39050.16
554,876.77,1336.33,39010.11
555,876.90,1337.98,39052.39
556,877.02,1339.64,38966.78
557,877.15,1341.29,38985.15
558,877.28,1342.95,38922.74
559,877.41,1344.60,38927.18
560,877.53,1346.25,38844.96
561,877.66,1347.90,38752.48
562,877.79,1349.55,38778.53
563,877.91,1351.19,38630.37
564,878.04,1352.84,38597.52
565,878.17,1354.49,38573.22
566,878.29,1356.13,38544.29
567,878.42,1357.78,38488.23
568,878.55,1359.42,38467.10
569,878.67,1361.06,38475.14
570,878.80,1362.70,38431.22
571,878.93,1364.34,38375.17
572,879.05,1365.98,38347.13
573,879.18,1367.62,38322.95
574,879.31,1369.26,38244.49
575,879.43,1370.89,38168.85
576,879.56,1372.53,38161.59
577,879.69,1374.16,38106.58
578,879.81,1375.79,38097.41
579,879.94,1377.43,38059.19
580,880.07,1379.06,37909.07
581,880.19,1380.69,37941.15
582,880.32,1382.32,37880.15
583,880.44,1383.94,37830.58
584,880.57,1385.57,37767.60
585,880.70,1387.20,37698.84
586,880.82,1388.82,37601.44
587,880.95,1390.45,37525.43
588,881.08,1392.07,37446.44
589,881.20,1393.69,37413.27
590,881.33,1395.31,37341.50
591,881.45,1396.93,37326.44
592,881.58,1398.55,37284.30
593,881.70,1400.17,37172.10
594,881.83,1401.79,37138.14
595,881.96,1403.40,37051.38
596,882.08,1405.02,36933.38
597,882.21,1406.63,36868.55
598,882.33,1408.25,36807.68
599,882.46,1409.86,36762.92
600,882.58,1411.47,36686.10
601,882.71,1413.08,36645.99
602,882.83,1414.69,36552.04
603,882.96,1416.30,36516.89
604,883.09,1417.90,36489.09
605,883.21,1419.51,36382.10
606,883.34,1421.12,36360.11
607,883.46,1422.72,36319.46
608,883.59,1424.32,36269.43
609,883.71,1425.93,36122.31
610,883.84,1427.53,36136.04
611,883.96,1429.13,36040.65
612,884.09,1430.73,36071.91
613,884.21,1432.32,36006.39
614,884.34,1433.92,36013.82
615,884.46,1435.52,35990.13
616,884.59,1437.11,35911.71
617,884.71,1438.71,35945.15
618,884.84,1440.30,35908.18
619,884.96,1441.89,35872.50
620,885.08,1443.48,35843.43
621,885.21,1445.08,35825.54
622,885.33,1446.66,35793.69
623,885.46,1448.25,35730.75
624,885.58,1449.84,35768.50
625,885.71,1451.43,35714.14
626,885.83,1453.01,35714.25
627,885.96,1454.60,35713.80
628,886.08,1456.18,35644.79
629,886.20,1457.76,35634.95
