ENLIGHTEN Version,3.2.30
Measurement ID,,,20230419-151318-179828-WP-00643
Serial Number,,,WP-00643
Model,,,WP-785-R-SR-LMMF
Detector,,,S11511
Label,,,15:13:18 WP-00643
286,841.39,856.79,12343.47
287,841.53,858.71,12350.86
288,841.67,860.63,12351.25
289,841.80,862.55,12359.91
290,841.94,864.47,12364.36
291,842.07,866.39,12369.99
292,842.21,868.31,12378.58
293,842.35,870.22,12390.90
294,842.48,872.14,12407.97
295,842.62,874.05,12406.59
296,842.75,875.96,12405.76
297,842.89,877.87,12420.26
298,843.02,879.78,12408.99
299,843.16,881.69,12418.18
300,843.30,883.60,12394.97
301,843.43,885.51,12412.86
302,843.57,887.42,12415.68
303,843.70,889.32,12417.67
304,843.84,891.23,12412.08
305,843.97,893.13,12458.77
306,844.11,895.03,12437.28
307,844.24,896.93,12445.98
308,844.38,898.84,12469.59
309,844.52,900.74,12457.57
310,844.65,902.63,12472.94
311,844.79,904.53,12480.01
312,844.92,906.43,12480.84
313,845.06,908.32,12494.68
314,845.19,910.22,12510.27
315,845.33,912.11,12534.05
316,845.46,914.01,12560.04
317,845.60,915.90,12557.57
318,845.73,917.79,12578.78
319,845.87,919.68,12605.55
320,846.00,921.57,12611.74
321,846.14,923.46,12647.91
322,846.27,925.34,12668.45
323,846.41,927.23,12666.18
324,846.54,929.11,12668.07
325,846.68,931.00,12687.36
326,846.81,932.88,12710.01
327,846.95,934.76,12705.52
328,847.08,936.64,12751.30
329,847.22,938.52,12766.89
330,847.35,940.40,12773.28
331,847.49,942.28,12788.21
332,847.62,944.16,12797.21
333,847.76,946.03,12789.29
334,847.89,947.91,12780.69
335,848.03,949.78,12789.07
336,848.16,951.65,12802.00
337,848.30,953.53,12816.51
338,848.43,955.40,12824.44
339,848.57,957.27,12784.43
340,848.70,959.14,12826.85
341,848.84,961.01,12815.74
342,848.97,962.87,12820.05
343,849.11,964.74,12833.63
344,849.24,966.60,12837.22
345,849.37,968.47,12843.42
346,849.51,970.33,12856.76
