Benzophenone,Alanine,Oatmeal agar,Oatmeal agar (raw),Wavenumber,Wavelength
987.3,3041.26023,45123.39944,45120.46,530.4860085,818.91
997.99,3598.292849,45168.84157,45201.69,532.5732921,819.05
1007.81,4421.72834,45213.84941,45220.51,534.6598622,819.19
1016.22,5542.166709,45258.41347,45290.46,536.7457192,819.33
1025.04,6928.507962,45302.52425,45396.95,538.8308635,819.47
1032.91,8251.652104,45346.17243,45398.33,540.9152955,819.61
1048.11,9250.899142,45389.34916,45495.65,542.9990155,819.75
1067.58,9587.049082,45432.04587,45529.03,545.0820239,819.89
1102.41,9306.301931,45474.25447,45542.77,547.164321,820.03
1163.7,8464.357692,45515.96742,45659.88,549.0972461,820.16
1266.57,7330.016374,45557.17747,45652.35,551.1781726,820.3
1437.26,6195.977981,45597.87811,45684.68,553.258389,820.44
1718.64,5236.742519,45638.06332,45803.31,555.3378955,820.58
2169.71,4440.809994,45677.72749,45819.99,557.4166925,820.72
2811.59,3774.980412,45716.86584,45847.37,559.4947805,820.86
3545.56,3216.353778,45755.47432,45993.17,561.5721597,821
4049.73,2795.930099,45793.54951,46146.38,563.6488306,821.14
4108.09,2466.009379,45831.08919,46038.28,565.7247934,821.28
3794.71,2243.591625,45868.09291,46211.73,567.8000486,821.42
3145.81,2076.976841,45904.56124,46226.92,569.8745966,821.56
2353.32,1962.565035,45940.49648,46245.97,571.9484376,821.7
1732.65,1880.55621,45975.90254,46238.82,574.0215721,821.84
1394.76,1813.450374,46010.78484,46193.87,576.0940004,821.98
1237.95,1771.347531,46045.15016,46256.14,578.017766,822.11
1158.92,1714.447688,46079.00614,46171.02,580.0888334,822.25
1122.27,1694.350849,46112.36151,46266.92,582.1591956,822.39
1104.68,1671.65702,46145.22545,46298.77,584.228853,822.53
1093.47,1636.566207,46177.60791,46250.73,586.2978061,822.67
1085.68,1634.578416,46209.51962,46259.25,588.366055,822.81
1079.41,1645.393652,46240.97166,46365.91,590.4336003,822.95
1064.36,1657.61192,46271.97537,46256.67,592.5004422,823.09
1053.66,1656.733226,46302.5427,46324.45,594.5665811,823.23
1039.59,1653.557576,46332.68555,46260.41,596.6320174,823.37
1036.26,1628.984975,46362.4159,46232.97,598.6967515,823.51
1048.14,1619.915428,46391.74538,46297,600.613376,823.64
1098.49,1593.348942,46420.68499,46243.62,602.6767567,823.78
1223.53,1599.085521,46449.24522,46278.47,604.7394362,823.92
1493.6,1581.525171,46477.43572,46371.94,606.8014148,824.06
2025.99,1573.567898,46505.26524,46404.12,608.8626929,824.2
3085.38,1577.213707,46532.74203,46379.77,610.9232709,824.34
4576.94,1598.162603,46559.87384,46454.56,612.9831491,824.48
5841.99,1594.414593,46586.66763,46442.98,615.0423278,824.62
6278.78,1632.86968,46613.12985,46530.01,617.1008075,824.76
5875.68,1655.927872,46639.26623,46494.2,619.0116272,824.89
4770.79,1681.189172,46665.08208,46587.31,621.0687597,825.03
3206.61,1741.753588,46690.582,46555.74,623.1251941,825.17
1875.25,1836.121123,46715.77017,46594.69,625.1809309,825.31
1242.74,1914.591784,46740.65013,46595.6,627.2359703,825.45
1091.63,2040.965576,46765.22479,46709.59,629.2903127,825.59
1106.4,2235.842504,46789.49635,46672.77,631.3439586,825.73
1246.56,2533.222574,46813.46672,46821.17,633.3969081,825.87
1417.8,2945.705791,46837.13723,46774.87,635.3025953,826
1495.27,3640.59216,46860.50927,46807.94,637.3542031,826.14
1483.17,4409.581687,46883.58387,46920.96,639.4051157,826.28
1398.88,5431.174377,46906.36185,46885.78,641.4553333,826.42
1225.65,6341.370235,46928.84418,46938.46,643.5048565,826.56
1042.36,6808.069267,46951.03174,46910.25,645.5536855,826.7
963.42,6697.271477,46972.92547,46999.8,647.6018207,826.84
945.08,6029.076872,46994.52609,46950.92,649.5030396,826.97
939.86,4971.985456,47015.83445,47010.34,651.5498377,827.11
941.6,3853.397234,47036.85121,46978.57,653.5959431,827.25
942.16,2948.112211,47057.57696,46986.23,655.641356,827.39
944.89,2388.730393,47078.01203,47021,657.6860768,827.53
942.8,2057.351785,47098.1564,47018.4,659.7301059,827.67
941.43,1839.276392,47118.00973,47130.16,661.6275138,827.8
939.82,1724.804218,47137.57132,47109.34,663.6702099,827.94
936.49,1618.135269,47156.84049,47158.21,665.7122152,828.08
936.12,1544.269549,47175.81646,47151.35,667.7535302,828.22
935.53,1508.607065,47194.49843,47158.38,669.7941552,828.36
940.09,1458.047821,47212.88549,47114.79,671.8340906,828.5
950.6,1414.591821,47230.97654,47141.24,673.727699,828.63
968.7,1396.839071,47248.77,47184.29,675.7663053,828.77
1005.5,1378.089577,47266.26383,47146.09,677.804223,828.91
1063.33,1360.643342,47283.45567,47151.86,679.8414524,829.05
