ENLIGHTEN Version,3.2.30
Measurement ID,,,20230419-151847-272046-WP-00643
Serial Number,,,WP-00643
Model,,,WP-785-R-SR-LMMF
Detector,,,S11511
Label,,,15:18:47 WP-00643
332,847.62,944.16,830.38
333,847.76,946.03,831.37
334,847.89,947.91,831.74
335,848.03,949.78,830.86
336,848.16,951.65,830.71
337,848.30,953.53,830.08
338,848.43,955.40,830.17
339,848.57,957.27,831.19
340,848.70,959.14,830.16
341,848.84,961.01,829.50
342,848.97,962.87,829.78
343,849.11,964.74,830.75
344,849.24,966.60,830.81
345,849.37,968.47,829.71
346,849.51,970.33,830.78
347,849.64,972.19,829.17
348,849.78,974.05,829.28
349,849.91,975.91,829.49
350,850.05,977.77,829.58
351,850.18,979.63,830.27
352,850.31,981.49,832.24
353,850.45,983.35,831.66
354,850.58,985.20,831.84
355,850.72,987.06,832.81
356,850.85,988.91,833.80
357,850.99,990.76,834.72
358,851.12,992.61,835.85
359,851.25,994.46,835.84
360,851.39,996.31,836.49
361,851.52,998.16,838.44
362,851.66,1000.01,838.57
363,851.79,1001.85,840.13
364,851.92,1003.70,841.13
365,852.06,1005.54,842.73
366,852.19,1007.39,842.76
367,852.33,1009.23,844.15
368,852.46,1011.07,847.19
369,852.59,1012.91,845.86
370,852.73,1014.75,847.88
371,852.86,1016.59,848.99
372,852.99,1018.43,847.79
373,853.13,1020.26,848.72
374,853.26,1022.10,847.79
375,853.39,1023.93,848.76
376,853.53,1025.77,848.32
377,853.66,1027.60,848.59
378,853.80,1029.43,846.75
379,853.93,1031.26,847.14
380,854.06,1033.09,846.17
381,854.20,1034.92,845.39
382,854.33,1036.75,846.53
383,854.46,1038.57,845.12
384,854.60,1040.40,847.07
385,854.73,1042.22,846.28
386,854.86,1044.05,848.35
387,855.00,1045.87,854.87
388,855.13,1047.69,849.11
389,855.26,1049.51,852.56
390,855.39,1051.33,853.10
391,855.53,1053.15,852.91
392,855.66,1054.97,856.47
393,855.79,1056.78,858.09
394,855.93,1058.60,863.14
395,856.06,1060.41,875.72
396,856.19,1062.23,895.12
397,856.33,1064.04,910.03
398,856.46,1065.85,921.73
399,856.59,1067.66,932.49
400,856.72,1069.47,943.09
401,856.86,1071.28,958.52
402,856.99,1073.09,998.45
403,857.12,1074.90,1085.30
404,857.26,1076.70,1285.16
405,857.39,1078.51,1793.14
406,857.52,1080.31,3163.19
407,857.65,1082.11,5427.41
408,857.79,1083.92,6794.98
409,857.92,1085.72,7105.70
410,858.05,1087.52,6792.44
411,858.18,1089.31,5529.77
412,858.32,1091.11,3299.12
413,858.45,1092.91,1788.84
414,858.58,1094.70,1234.79
415,858.71,1096.50,1042.43
416,858.84,1098.29,961.73
417,858.98,1100.09,922.53
418,859.11,1101.88,897.82
419,859.24,1103.67,882.15
420,859.37,1105.46,877.73
421,859.51,1107.25,863.76
422,859.64,1109.04,858.22
423,859.77,1110.82,854.60
424,859.90,1112.61,850.89
425,860.03,1114.39,848.85
426,860.17,1116.18,845.62
427,860.30,1117.96,844.43
428,860.43,1119.74,843.56
429,860.56,1121.52,841.84
430,860.69,1123.30,839.93
431,860.83,1125.08,839.48
432,860.96,1126.86,838.91
433,861.09,1128.64,836.29
434,861.22,1130.41,836.21
435,861.35,1132.19,835.81
436,861.48,1133.96,835.94
437,861.62,1135.74,836.33
438,861.75,1137.51,833.13
439,861.88,1139.28,833.40
440,862.01,1141.05,833.92
441,862.14,1142.82,833.06
442,862.27,1144.59,833.09
443,862.40,1146.35,831.80
444,862.54,1148.12,832.50
445,862.67,1149.88,832.76
446,862.80,1151.65,830.92
447,862.93,1153.41,831.03
448,863.06,1155.17,830.70
449,863.19,1156.93,831.07
450,863.32,1158.69,831.56
451,863.45,1160.45,830.47
452,863.59,1162.21,830.24
453,863.72,1163.97,829.77
454,863.85,1165.73,828.33
455,863.98,1167.48,829.01
456,864.11,1169.23,829.37
457,864.24,1170.99,828.71
458,864.37,1172.74,828.34
459,864.50,1174.49,828.67
460,864.63,1176.24,827.45
461,864.76,1177.99,829.26
462,864.89,1179.74,828.05
463,865.03,1181.49,828.45
464,865.16,1183.23,828.34
465,865.29,1184.98,828.31
466,865.42,1186.72,827.87
467,865.55,1188.46,828.13
468,865.68,1190.21,826.35
469,865.81,1191.95,826.99
470,865.94,1193.69,826.27
471,866.07,1195.43,826.20
472,866.20,1197.17,826.16
473,866.33,1198.90,825.48
474,866.46,1200.64,825.25
475,866.59,1202.38,827.65
476,866.72,1204.11,826.70
477,866.85,1205.84,827.70
478,866.98,1207.58,827.60
479,867.11,1209.31,827.31
480,867.24,1211.04,827.78
481,867.37,1212.77,827.03
482,867.50,1214.49,827.12
483,867.63,1216.22,827.54
484,867.76,1217.95,826.74
485,867.89,1219.67,827.50
486,868.02,1221.40,827.81
487,868.15,1223.12,827.52
488,868.28,1224.84,826.32
489,868.41,1226.57,828.16
490,868.54,1228.29,828.06
491,868.67,1230.01,827.59
492,868.80,1231.72,827.38
493,868.93,1233.44,827.95
494,869.06,1235.16,827.52
495,869.19,1236.87,826.40
496,869.32,1238.59,825.78
497,869.45,1240.30,827.57
498,869.58,1242.01,827.01
499,869.71,1243.73,827.09
500,869.84,1245.44,825.63
501,869.97,1247.15,827.31
502,870.10,1248.85,826.91
503,870.23,1250.56,826.09
504,870.35,1252.27,826.56
505,870.48,1253.97,825.34
506,870.61,1255.68,827.92
507,870.74,1257.38,826.14
508,870.87,1259.08,826.88
509,871.00,1260.79,826.57
510,871.13,1262.49,825.82
511,871.26,1264.19,825.94
512,871.39,1265.88,825.18
513,871.52,1267.58,825.07
514,871.64,1269.28,826.21
515,871.77,1270.97,826.03
516,871.90,1272.67,825.02
517,872.03,1274.36,825.65
518,872.16,1276.05,826.17
519,872.29,1277.75,825.99
520,872.42,1279.44,824.09
521,872.55,1281.13,825.65
522,872.67,1282.82,826.32
523,872.80,1284.50,824.27
524,872.93,1286.19,824.65
525,873.06,1287.88,824.96
526,873.19,1289.56,822.78
527,873.32,1291.24,823.89
528,873.45,1292.93,824.80
529,873.57,1294.61,823.10
530,873.70,1296.29,823.12
531,873.83,1297.97,824.60
532,873.96,1299.65,823.22
533,874.09,1301.33,824.10
534,874.21,1303.00,824.15
535,874.34,1304.68,823.62
536,874.47,1306.35,823.06
537,874.60,1308.03,823.96
538,874.73,1309.70,823.83
539,874.85,1311.37,821.97
540,874.98,1313.04,823.24
541,875.11,1314.71,822.65
542,875.24,1316.38,823.21
543,875.37,1318.05,822.53
544,875.49,1319.71,823.84
545,875.62,1321.38,821.85
546,875.75,1323.05,821.75
547,875.88,1324.71,826.87
548,876.00,1326.37,822.60
549,876.13,1328.03,824.36
550,876.26,1329.69,824.24
551,876.39,1331.35,823.14
552,876.51,1333.01,822.28
553,876.64,1334.67,822.58
554,876.77,1336.33,822.32
555,876.90,1337.98,823.34
556,877.02,1339.64,822.44
557,877.15,1341.29,822.40
558,877.28,1342.95,822.49
559,877.41,1344.60,823.63
560,877.53,1346.25,822.89
561,877.66,1347.90,822.69
562,877.79,1349.55,824.81
563,877.91,1351.19,822.98
564,878.04,1352.84,822.30
565,878.17,1354.49,822.13
566,878.29,1356.13,824.51
567,878.42,1357.78,823.14
568,878.55,1359.42,822.79
569,878.67,1361.06,822.95
570,878.80,1362.70,824.00
571,878.93,1364.34,823.37
572,879.05,1365.98,823.69
573,879.18,1367.62,823.14
574,879.31,1369.26,823.22
575,879.43,1370.89,821.46
576,879.56,1372.53,823.47
577,879.69,1374.16,822.46
578,879.81,1375.79,823.74
579,879.94,1377.43,822.84
580,880.07,1379.06,822.36
581,880.19,1380.69,823.72
582,880.32,1382.32,822.50
583,880.44,1383.94,821.83
584,880.57,1385.57,822.47
585,880.70,1387.20,822.15
586,880.82,1388.82,824.08
587,880.95,1390.45,823.02
588,881.08,1392.07,825.06
589,881.20,1393.69,824.07
590,881.33,1395.31,823.91
591,881.45,1396.93,824.47
592,881.58,1398.55,824.75
593,881.70,1400.17,824.54
594,881.83,1401.79,824.36
595,881.96,1403.40,824.64
596,882.08,1405.02,825.81
597,882.21,1406.63,827.66
598,882.33,1408.25,827.46
599,882.46,1409.86,828.56
600,882.58,1411.47,829.98
601,882.71,1413.08,830.95
602,882.83,1414.69,831.10
603,882.96,1416.30,833.47
604,883.09,1417.90,833.58
605,883.21,1419.51,835.42
606,883.34,1421.12,838.59
607,883.46,1422.72,839.72
608,883.59,1424.32,843.82
609,883.71,1425.93,847.57
610,883.84,1427.53,858.99
611,883.96,1429.13,878.83
612,884.09,1430.73,913.70
613,884.21,1432.32,953.04
614,884.34,1433.92,980.30
615,884.46,1435.52,987.45
616,884.59,1437.11,977.80
617,884.71,1438.71,950.20
618,884.84,1440.30,908.23
619,884.96,1441.89,873.48
620,885.08,1443.48,850.75
621,885.21,1445.08,840.21
622,885.33,1446.66,834.70
623,885.46,1448.25,829.75
624,885.58,1449.84,828.35
625,885.71,1451.43,825.79
626,885.83,1453.01,826.12
627,885.96,1454.60,824.93
628,886.08,1456.18,822.77
629,886.20,1457.76,823.22
630,886.33,1459.34,823.50
631,886.45,1460.92,822.65
632,886.58,1462.50,822.86
633,886.70,1464.08,822.03
634,886.83,1465.66,821.26
635,886.95,1467.24,821.32
636,887.07,1468.81,821.19
637,887.20,1470.39,823.79
638,887.32,1471.96,821.35
639,887.44,1473.53,819.98
640,887.57,1475.10,819.51
641,887.69,1476.67,820.60
642,887.82,1478.24,821.79
643,887.94,1479.81,820.06
644,888.06,1481.38,820.51
645,888.19,1482.94,819.34
646,888.31,1484.51,820.11
647,888.43,1486.07,820.58
648,888.56,1487.64,819.80
649,888.68,1489.20,821.34
650,888.80,1490.76,822.32
651,888.93,1492.32,820.92
652,889.05,1493.88,820.36
653,889.17,1495.44,820.74
654,889.30,1497.00,820.76
655,889.42,1498.55,821.15
656,889.54,1500.11,819.94
657,889.67,1501.66,821.11
658,889.79,1503.22,820.53
659,889.91,1504.77,819.41
660,890.03,1506.32,820.15
661,890.16,1507.87,820.05
662,890.28,1509.42,819.86
663,890.40,1510.97,819.83
664,890.53,1512.52,819.77
665,890.65,1514.07,819.92
666,890.77,1515.61,819.71
667,890.89,1517.16,819.92
668,891.02,1518.70,819.69
669,891.14,1520.24,820.19
670,891.26,1521.78,819.59
671,891.38,1523.32,822.39
672,891.51,1524.86,820.08
673,891.63,1526.40,819.08
674,891.75,1527.94,819.63
675,891.87,1529.48,819.05
676,891.99,1531.01,820.48
677,892.12,1532.55,821.75
678,892.24,1534.08,820.30
679,892.36,1535.61,820.07
680,892.48,1537.15,821.30
681,892.60,1538.68,819.24
682,892.73,1540.21,820.25
683,892.85,1541.73,819.47
684,892.97,1543.26,819.61
685,893.09,1544.79,820.35
686,893.21,1546.32,819.93
687,893.34,1547.84,821.05
688,893.46,1549.36,821.78
689,893.58,1550.89,821.93
690,893.70,1552.41,823.73
691,893.82,1553.93,825.37
692,893.94,1555.45,824.38
693,894.06,1556.97,823.41
694,894.19,1558.49,823.80
695,894.31,1560.00,819.63
696,894.43,1561.52,819.21
697,894.55,1563.03,820.67
698,894.67,1564.55,819.14
699,894.79,1566.06,818.63
700,894.91,1567.57,818.73
701,895.03,1569.08,818.23
702,895.16,1570.59,819.58
703,895.28,1572.10,818.92
704,895.40,1573.61,818.31
705,895.52,1575.12,818.54
706,895.64,1576.62,819.74
707,895.76,1578.13,820.12
708,895.88,1579.63,820.62
709,896.00,1581.13,819.29
710,896.12,1582.64,819.41
711,896.24,1584.14,818.41
712,896.36,1585.64,818.67
713,896.48,1587.14,819.49
714,896.60,1588.63,817.92
715,896.72,1590.13,817.67
716,896.84,1591.63,818.50
717,896.96,1593.12,817.47
718,897.08,1594.62,817.37
719,897.20,1596.11,817.93
720,897.32,1597.60,817.74
721,897.44,1599.09,819.14
722,897.56,1600.58,818.26
723,897.68,1602.07,816.99
724,897.80,1603.56,816.95
725,897.92,1605.05,817.11
726,898.04,1606.53,816.64
727,898.16,1608.02,817.17
728,898.28,1609.50,816.00
729,898.40,1610.98,816.13
730,898.52,1612.47,816.41
731,898.64,1613.95,814.78
732,898.76,1615.43,815.24
733,898.88,1616.91,813.59
734,899.00,1618.38,814.45
735,899.12,1619.86,814.71
736,899.24,1621.34,814.66
737,899.36,1622.81,815.73
738,899.48,1624.29,816.94
739,899.60,1625.76,816.52
740,899.72,1627.23,815.40
741,899.84,1628.70,817.07
742,899.95,1630.17,815.21
743,900.07,1631.64,815.41
744,900.19,1633.11,817.01
745,900.31,1634.58,814.48
746,900.43,1636.04,815.14
747,900.55,1637.51,815.51
748,900.67,1638.97,814.86
749,900.79,1640.44,814.39
750,900.91,1641.90,814.22
751,901.02,1643.36,814.42
752,901.14,1644.82,815.25
753,901.26,1646.28,815.32
754,901.38,1647.74,814.61
755,901.50,1649.19,814.85
756,901.62,1650.65,814.31
757,901.73,1652.11,815.81
758,901.85,1653.56,816.13
759,901.97,1655.01,813.95
760,902.09,1656.47,815.09
761,902.21,1657.92,814.24
762,902.33,1659.37,814.26
763,902.44,1660.82,814.53
764,902.56,1662.27,814.86
765,902.68,1663.71,814.36
766,902.80,1665.16,813.82
767,902.92,1666.60,813.81
768,903.03,1668.05,813.83
769,903.15,1669.49,817.42
770,903.27,1670.93,813.94
771,903.39,1672.38,813.90
772,903.50,1673.82,815.01
773,903.62,1675.26,814.81
774,903.74,1676.69,814.86
775,903.86,1678.13,815.58
776,903.97,1679.57,814.64
777,904.09,1681.00,813.58
778,904.21,1682.44,814.13
779,904.33,1683.87,814.88
780,904.44,1685.30,813.57
781,904.56,1686.74,814.77
782,904.68,1688.17,814.49
783,904.79,1689.60,814.66
784,904.91,1691.02,815.28
785,905.03,1692.45,814.27
786,905.14,1693.88,815.22
787,905.26,1695.30,814.13
788,905.38,1696.73,815.35
789,905.49,1698.15,815.08
790,905.61,1699.57,814.49
791,905.73,1701.00,814.79
792,905.84,1702.42,814.03
793,905.96,1703.84,813.26
794,906.08,1705.25,813.64
795,906.19,1706.67,812.78
796,906.31,1708.09,813.17
797,906.43,1709.50,812.67
798,906.54,1710.92,812.80
799,906.66,1712.33,812.65
800,906.77,1713.74,812.74
801,906.89,1715.16,813.64
802,907.01,1716.57,811.92
803,907.12,1717.98,811.82
804,907.24,1719.38,811.82
805,907.35,1720.79,810.95
806,907.47,1722.20,812.71
807,907.59,1723.60,813.92
808,907.70,1725.01,814.06
809,907.82,1726.41,812.97
810,907.93,1727.82,814.02
811,908.05,1729.22,813.12
812,908.16,1730.62,813.60
813,908.28,1732.02,814.79
814,908.40,1733.42,817.21
815,908.51,1734.81,818.38
816,908.63,1736.21,817.80
817,908.74,1737.61,819.49
818,908.86,1739.00,823.20
819,908.97,1740.40,830.52
820,909.09,1741.79,841.04
821,909.20,1743.18,856.26
822,909.32,1744.57,875.16
823,909.43,1745.96,889.32
824,909.55,1747.35,899.29
825,909.66,1748.74,902.55
826,909.78,1750.12,899.61
827,909.89,1751.51,888.83
828,910.01,1752.89,874.29
829,910.12,1754.28,862.06
830,910.23,1755.66,848.06
831,910.35,1757.04,838.50
832,910.46,1758.42,831.51
833,910.58,1759.80,825.56
834,910.69,1761.18,822.06
835,910.81,1762.56,820.88
836,910.92,1763.94,817.12
837,911.04,1765.31,817.53
838,911.15,1766.69,815.62
839,911.26,1768.06,815.91
840,911.38,1769.44,814.23
841,911.49,1770.81,812.63
842,911.61,1772.18,812.94
843,911.72,1773.55,812.64
844,911.83,1774.92,813.37
845,911.95,1776.28,814.59
846,912.06,1777.65,812.67
847,912.17,1779.02,813.15
848,912.29,1780.38,812.57
849,912.40,1781.75,811.82
850,912.51,1783.11,813.60
851,912.63,1784.47,813.33
852,912.74,1785.83,811.23
