ENLIGHTEN Version,3.2.30
Measurement ID,,,20230419-151809-671888-WP-00643
Serial Number,,,WP-00643
Model,,,WP-785-R-SR-LMMF
Detector,,,S11511
Label,,,15:18:09 WP-00643
368,852.46,1011.07,3588.39
369,852.59,1012.91,2489.47
370,852.73,1014.75,2071.23
371,852.86,1016.59,2049.06
372,852.99,1018.43,2323.33
373,853.13,1020.26,3127.97
374,853.26,1022.10,5184.54
375,853.39,1023.93,8617.33
376,853.53,1025.77,11310.97
377,853.66,1027.60,12434.55
378,853.80,1029.43,12200.09
379,853.93,1031.26,10364.08
380,854.06,1033.09,6944.78
381,854.20,1034.92,4035.53
382,854.33,1036.75,2485.02
383,854.46,1038.57,1804.27
384,854.60,1040.40,1513.95
385,854.73,1042.22,1367.14
386,854.86,1044.05,1284.69
387,855.00,1045.87,1238.77
388,855.13,1047.69,1202.85
389,855.26,1049.51,1188.68
390,855.39,1051.33,1176.61
391,855.53,1053.15,1175.73
392,855.66,1054.97,1173.62
393,855.79,1056.78,1176.62
394,855.93,1058.60,1182.50
395,856.06,1060.41,1182.92
396,856.19,1062.23,1184.37
397,856.33,1064.04,1179.52
398,856.46,1065.85,1184.94
399,856.59,1067.66,1204.55
400,856.72,1069.47,1247.57
401,856.86,1071.28,1297.09
402,856.99,1073.09,1332.37
403,857.12,1074.90,1338.42
404,857.26,1076.70,1311.74
405,857.39,1078.51,1255.19
406,857.52,1080.31,1188.73
407,857.65,1082.11,1135.38
408,857.79,1083.92,1105.64
409,857.92,1085.72,1096.36
410,858.05,1087.52,1099.67
411,858.18,1089.31,1103.15
412,858.32,1091.11,1103.72
413,858.45,1092.91,1103.57
414,858.58,1094.70,1096.45
415,858.71,1096.50,1089.57
416,858.84,1098.29,1081.14
417,858.98,1100.09,1079.70
418,859.11,1101.88,1081.11
419,859.24,1103.67,1082.64
420,859.37,1105.46,1092.65
421,859.51,1107.25,1094.06
422,859.64,1109.04,1105.34
423,859.77,1110.82,1120.50
424,859.90,1112.61,1145.85
425,860.03,1114.39,1181.10
426,860.17,1116.18,1230.96
427,860.30,1117.96,1301.37
428,860.43,1119.74,1384.17
429,860.56,1121.52,1484.12
430,860.69,1123.30,1588.31
431,860.83,1125.08,1710.07
432,860.96,1126.86,1884.53
433,861.09,1128.64,2127.76
434,861.22,1130.41,2466.05
435,861.35,1132.19,2877.40
436,861.48,1133.96,3356.65
437,861.62,1135.74,3944.36
438,861.75,1137.51,4737.77
439,861.88,1139.28,5881.16
440,862.01,1141.05,7338.99
441,862.14,1142.82,9046.16
442,862.27,1144.59,11116.27
443,862.40,1146.35,13382.24
444,862.54,1148.12,14968.96
445,862.67,1149.88,15107.38
446,862.80,1151.65,14090.25
447,862.93,1153.41,12311.24
448,863.06,1155.17,10209.05
449,863.19,1156.93,8656.01
450,863.32,1158.69,7742.12
451,863.45,1160.45,7355.06
452,863.59,1162.21,7357.35
453,863.72,1163.97,6872.85
454,863.85,1165.73,5602.26
455,863.98,1167.48,4439.65
456,864.11,1169.23,3627.59
457,864.24,1170.99,2917.53
458,864.37,1172.74,2571.37
459,864.50,1174.49,2550.25
460,864.63,1176.24,2607.10
461,864.76,1177.99,2692.07
462,864.89,1179.74,2801.96
463,865.03,1181.49,2957.35
464,865.16,1183.23,3102.02
465,865.29,1184.98,3121.17
466,865.42,1186.72,2989.28
467,865.55,1188.46,2671.98
468,865.68,1190.21,2183.60
469,865.81,1191.95,1693.59
470,865.94,1193.69,1387.31
471,866.07,1195.43,1247.12
472,866.20,1197.17,1189.59
473,866.33,1198.90,1167.34
474,866.46,1200.64,1157.01
475,866.59,1202.38,1154.06
476,866.72,1204.11,1143.41
477,866.85,1205.84,1133.31
478,866.98,1207.58,1119.64
479,867.11,1209.31,1103.61
480,867.24,1211.04,1085.54
481,867.37,1212.77,1067.85
482,867.50,1214.49,1057.73
483,867.63,1216.22,1046.40
484,867.76,1217.95,1040.77
485,867.89,1219.67,1039.93
486,868.02,1221.40,1038.26
487,868.15,1223.12,1038.66
488,868.28,1224.84,1038.10
489,868.41,1226.57,1041.88
490,868.54,1228.29,1044.57
491,868.67,1230.01,1048.60
492,868.80,1231.72,1052.34
493,868.93,1233.44,1055.01
494,869.06,1235.16,1054.56
495,869.19,1236.87,1055.57
496,869.32,1238.59,1058.07
497,869.45,1240.30,1067.36
498,869.58,1242.01,1082.58
499,869.71,1243.73,1105.85
500,869.84,1245.44,1132.46
501,869.97,1247.15,1161.33
502,870.10,1248.85,1185.95
503,870.23,1250.56,1203.23
504,870.35,1252.27,1213.19
505,870.48,1253.97,1218.96
506,870.61,1255.68,1234.57
507,870.74,1257.38,1259.80
508,870.87,1259.08,1313.63
509,871.00,1260.79,1386.11
510,871.13,1262.49,1473.78
511,871.26,1264.19,1582.36
512,871.39,1265.88,1719.27
513,871.52,1267.58,1926.18
514,871.64,1269.28,2236.56
515,871.77,1270.97,2665.25
516,871.90,1272.67,3210.55
517,872.03,1274.36,3786.38
518,872.16,1276.05,4249.78
519,872.29,1277.75,4460.79
520,872.42,1279.44,4371.82
521,872.55,1281.13,4049.07
522,872.67,1282.82,3549.36
523,872.80,1284.50,3017.99
524,872.93,1286.19,2574.16
525,873.06,1287.88,2244.24
526,873.19,1289.56,1997.34
527,873.32,1291.24,1790.13
528,873.45,1292.93,1601.05
529,873.57,1294.61,1435.87
530,873.70,1296.29,1303.90
531,873.83,1297.97,1224.43
532,873.96,1299.65,1192.73
533,874.09,1301.33,1197.08
534,874.21,1303.00,1228.99
535,874.34,1304.68,1271.45
536,874.47,1306.35,1325.56
537,874.60,1308.03,1417.10
538,874.73,1309.70,1553.45
539,874.85,1311.37,1716.57
540,874.98,1313.04,1828.01
541,875.11,1314.71,1868.30
542,875.24,1316.38,1847.46
543,875.37,1318.05,1796.61
544,875.49,1319.71,1712.69
545,875.62,1321.38,1621.84
546,875.75,1323.05,1555.91
547,875.88,1324.71,1504.53
548,876.00,1326.37,1413.81
549,876.13,1328.03,1287.62
550,876.26,1329.69,1174.07
551,876.39,1331.35,1093.81
552,876.51,1333.01,1040.27
553,876.64,1334.67,1006.93
554,876.77,1336.33,994.82
555,876.90,1337.98,991.05
556,877.02,1339.64,987.85
557,877.15,1341.29,989.33
558,877.28,1342.95,988.12
559,877.41,1344.60,987.09
560,877.53,1346.25,987.18
561,877.66,1347.90,986.75
562,877.79,1349.55,993.41
563,877.91,1351.19,992.04
564,878.04,1352.84,995.93
565,878.17,1354.49,996.14
566,878.29,1356.13,1001.21
567,878.42,1357.78,1000.30
568,878.55,1359.42,1003.91
569,878.67,1361.06,1009.95
570,878.80,1362.70,1013.31
571,878.93,1364.34,1019.12
572,879.05,1365.98,1026.92
573,879.18,1367.62,1035.60
574,879.31,1369.26,1041.29
575,879.43,1370.89,1045.30
576,879.56,1372.53,1044.52
577,879.69,1374.16,1038.26
578,879.81,1375.79,1030.49
579,879.94,1377.43,1023.17
580,880.07,1379.06,1015.39
581,880.19,1380.69,1010.86
582,880.32,1382.32,1014.25
583,880.44,1383.94,1020.96
584,880.57,1385.57,1036.53
585,880.70,1387.20,1052.85
586,880.82,1388.82,1069.16
587,880.95,1390.45,1078.66
588,881.08,1392.07,1086.14
589,881.20,1393.69,1086.34
590,881.33,1395.31,1079.01
591,881.45,1396.93,1065.70
592,881.58,1398.55,1049.46
593,881.70,1400.17,1027.08
594,881.83,1401.79,1008.68
595,881.96,1403.40,990.87
596,882.08,1405.02,978.41
597,882.21,1406.63,970.06
598,882.33,1408.25,965.13
599,882.46,1409.86,965.31
600,882.58,1411.47,963.69
601,882.71,1413.08,963.90
602,882.83,1414.69,960.55
603,882.96,1416.30,958.27
604,883.09,1417.90,952.40
